=====================================================
Nueva instancia TEST
=====================================================
images\orl_db\
-------- INICIO ENTRENAMIENTO --------
------- CALCULO CONVARIANZA -------
PCA - Msg - Tiempo calcular Covarianza: 7segs.
------- OBTENGO AUTEVECTORES/AUTOVALORES -------
PCA - Msg - Tiempo calcular Autovectores: 44segs.
------- OBTENGO MATRIZ DE PROYECCION -------
PCA - Msg - Tiempo obtener Autovectores mas significativos: 0segs.
--------  FIN ENTRENAMIENTO --------
Cantidad Entrenamiento: 5
Cantidad Referencia: 9
Imagen Entrada;Distancia;ImagenEncontrada;Coincidencia
s01_10.pgm;18,189607138552482;s01\08.pgm;Si
s02_10.pgm;9,26911847203745;s02\07.pgm;Si
s03_10.pgm;8,263986796284806;s03\09.pgm;Si
s04_10.pgm;12,109573365297544;s04\05.pgm;Si
s05_10.pgm;14,54098276149152;s40\05.pgm;No
s06_10.pgm;6,31197254316516;s06\04.pgm;Si
s07_10.pgm;12,869519906228444;s07\02.pgm;Si
s08_10.pgm;8,849510231167734;s08\03.pgm;Si
s09_10.pgm;14,191063442420363;s09\05.pgm;Si
s10_10.pgm;8,613310378954097;s10\02.pgm;Si
s11_10.pgm;17,408710151333253;s27\07.pgm;No
s12_10.pgm;17,632534226017665;s05\09.pgm;No
s13_10.pgm;6,945221527359915;s13\05.pgm;Si
s14_10.pgm;14,107847681807597;s14\09.pgm;Si
s15_10.pgm;12,58695719870839;s15\02.pgm;Si
s16_10.pgm;12,597816396593796;s16\03.pgm;Si
s17_10.pgm;7,757315926268778;s17\07.pgm;Si
s18_10.pgm;14,633158453513445;s18\06.pgm;Si
s19_10.pgm;9,144343577965337;s19\01.pgm;Si
s20_10.pgm;9,85794223594388;s20\02.pgm;Si
s21_10.pgm;9,13135494176843;s21\08.pgm;Si
s22_10.pgm;13,022267302725805;s22\02.pgm;Si
s23_10.pgm;9,806425751962031;s23\01.pgm;Si
s24_10.pgm;10,59884326844014;s24\09.pgm;Si
s25_10.pgm;10,73831293817314;s25\03.pgm;Si
s26_10.pgm;5,874521011517923;s26\08.pgm;Si
